business_id,name,address,review_count,rating,zipcode,cuisine
vRrVSB-LegwUwIxpkeRVtQ,Le Bernardin,155 W 51st St,2934,4.5,10019,French
3Gz07E5YJjDTJPSuzsAStQ,Ocean Prime,123 W 52nd St,808,4.5,10019,Other
OFfZUS-nu6NDnsWe1B2bUQ,Tonchin,13 W 36th St,1979,4.5,10018,Other
h37t9rA06Sr4EetJjKrfzw,Don Angie,103 Greenwich Ave,783,4.5,10014,Italian
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,53 W 35th St,2876,4.5,10001,Other
MmXZLVwWcYugi_TXSHmjeQ,Sushi by Bou Times Square,132 W 47th St,788,4.5,10036,Japanese
ypqK8DWM8Bcs43YveSJnNw,Manhatta,28 Liberty St,661,4.5,10005,Other
WG639VkTjmK5dzydd1BBJA,Rubirosa,235 Mulberry St,3176,4.5,10012,Italian
B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,5 E 19th St,4822,4.5,10003,Thai
qY1o1MhoRyN84RRhUJtvpQ,Her Name Is Han,17 E 31st St,1852,4.5,10016,Korean
nRO136GRieGtxz18uD61DA,Eleven Madison Park,11 Madison Ave,2450,4.5,10010,French
xt4sa64WOrpJvZBDPNPNYg,Jacob's Pickles,509 Amsterdam Ave,5443,4.0,10024,Other
WJS06XxRdc6DD1s4LWE9HA,Fish Cheeks,55 Bond St,1407,4.5,10012,Thai
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,186 Grand St,1452,4.5,10013,Italian
7B2XMvV5uGuKyl19-HTSvg,Fogo de Chão Brazilian Steakhouse,40 W 53rd St,1722,4.0,10019,Brazilian
EKkHfSYTm266-ZBve3SdgA,Yoon Haeundae Galbi,8 W 36th St,733,4.5,10018,Korean
DZaN3bNWfwcm__sNw5bvDg,Daniel,60 E 65th St,1876,4.5,10065,French
1DfbZ0VsSCg9g1KILmnvzQ,Per Se,10 Columbus Cir,1872,4.5,10019,French
dc3hkLkAqCSxDWQzrx-g9A,Quality Italian,57 W 57th St,1410,4.0,10019,Italian
LkV96_buOU_n0br4SBO57w,Ci Siamo,440 West 33rd St,368,4.5,10001,Italian
